x1;x2;x3;x4;x5;x6;x7;y
7.58;7.87;7.94;8;17240001;359.69;162070000;19.80299703
7.63;7.92;7.99;8.04;18190001;358.76;192330000;20.26636191
7.59;7.91;7.98;8.04;19219999;355.67;177000000;21.35524503
7.54;7.92;7.99;8.06;20110001;352.2;158530000;19.80465645
7.54;7.92;8.02;8.09;20260000;353.79;140110000;19.73074423
7.55;7.92;8.02;8.1;22200001;349.62;155210000;20.46255935
7.5;7.92;8.03;8.11;22440001;347.31;175990000;19.88730529
7.55;7.94;8.04;8.11;20049999;348.53;154390000;19.47832324
7.5;7.99;8.1;8.17;24639999;339.93;183880000;21.66675492
7.63;8.11;8.2;8.25;26340000;337;140590000;21.83976261
7.71;8.11;8.19;8.25;24160000;337.4;170470000;23.53408417
7.78;8.27;8.32;8.35;24340000;338.19;178590000;23.22049735
7.74;8.2;8.26;8.29;22500000;339.15;185590000;23.57334513
7.73;8.19;8.27;8.31;26700001;330.38;148380000;26.44494219
7.67;8.18;8.26;8.29;24719999;331.61;179300000;25.41195983
7.67;8.28;8.38;8.41;25389999;330.26;207830000;27.05674317
7.69;8.31;8.42;8.46;25629999;326.08;172270000;28.10991168
7.68;8.38;8.49;8.55;26280001;325.8;198190000;28.40024555
7.74;8.39;8.5;8.54;26440001;325.2;150770000;27.50061501
7.74;8.43;8.51;8.55;27250000;322.98;186030000;28.48931822
7.74;8.35;8.43;8.46;25360001;329.08;189660000;26.89036101
7.76;8.35;8.42;8.44;24870001;328.79;154580000;27.85528757
7.81;8.42;8.5;8.51;24320000;330.92;164400000;26.54393811
7.82;8.44;8.53;8.53;24540001;331.85;130950000;24.83682387
7.82;8.49;8.57;8.58;24690001;329.66;134070000;25.39634775
7.81;8.51;8.52;8.57;24290001;333.75;186710000;23.58801498
7.81;8.45;8.49;8.5;23770000;332.96;176240000;23.35403652
7.76;8.29;8.31;8.36;23690001;333.62;146910000;24.516276
7.73;8.37;8.4;8.43;24379999;330.08;118390000;26.05453223
7.58;8.29;8.35;8.39;23760000;331.02;144490000;26.262824
7.61;8.34;8.36;8.41;22049999;332.01;138530000;26.2198729
7.71;8.4;8.43;8.47;19709999;334.89;174620000;26.19409358
7.69;8.41;8.42;8.46;20780001;332.72;166840000;26.30656408
7.8;8.58;8.62;8.66;22780001;327.99;147300000;29.0305802
7.75;8.6;8.62;8.66;23889999;327.67;159240000;28.83211768
7.73;8.48;8.54;8.56;22540001;325.7;184320000;30.47344182
7.68;8.47;8.53;8.56;23690001;324.15;148490000;30.25111831
7.71;8.4;8.46;8.49;23559999;328.67;148900000;29.04256549
7.73;8.34;8.41;8.45;22690001;330.26;152590000;27.73802459
7.77;8.44;8.51;8.54;21990000;331.89;184400000;27.50049715
7.81;8.53;8.59;8.61;21900000;332.74;157930000;27.6018513
7.76;8.5;8.54;8.55;21340000;335.54;164330000;27.89843238
7.82;8.58;8.65;8.66;22030001;333.74;140110000;28.93342123
7.9;8.57;8.59;8.59;20549999;337.93;143640000;27.07714615
7.91;8.56;8.58;8.58;19100000;336.95;163580000;26.82801603
7.91;8.57;8.57;8.56;19740000;340.27;170900000;24.65401005
7.99;8.68;8.65;8.63;20299999;337.93;150410000;25.78989732
7.99;8.67;8.63;8.62;20070000;338.67;114790000;25.69291641
7.98;8.75;8.73;8.72;21049999;336;145440000;27.63690476
7.95;8.67;8.65;8.61;19650000;336.87;145060000;27.52284264
7.94;8.69;8.66;8.63;18809999;338.07;144410000;26.8045671
7.92;8.61;8.59;8.55;17620001;341.91;222520000;25.42382498
7.94;8.65;8.59;8.54;18290001;343.53;142300000;24.59400926
7.97;8.61;8.54;8.47;19059999;341.57;177320000;26.60602512
7.95;8.62;8.55;8.47;20100000;339.74;130990000;26.39736269
7.9;8.56;8.53;8.49;22740000;335.69;175930000;27.50138521
7.88;8.54;8.52;8.48;20459999;337.22;132070000;26.84811103
7.86;8.52;8.51;8.47;19590000;337.63;116110000;27.10772147
7.9;8.55;8.52;8.48;21010000;341.5;131610000;26.16691069
7.85;8.53;8.51;8.47;19770000;342;142300000;25.97660819
7.83;8.6;8.6;8.58;18459999;340.79;132190000;27.04169723
7.8;8.65;8.65;8.63;19730000;339.94;139340000;27.41201388
7.78;8.65;8.65;8.63;22840000;338.7;124360000;27.76557425
7.82;8.64;8.63;8.61;20440001;343.64;154310000;25.15027354
7.75;8.56;8.55;8.52;22030001;341.09;159530000;25.12046674
7.76;8.57;8.57;8.52;21209999;340.73;144170000;24.35353506
7.76;8.55;8.56;8.52;21760000;340.08;137490000;23.34474241
7.82;8.58;8.59;8.55;22299999;341.37;114970000;22.77476052
7.78;8.58;8.6;8.57;21690001;342.07;136020000;23.06492823
7.76;8.6;8.63;8.58;17730000;341.92;141080000;23.36780533
7.76;8.62;8.64;8.6;19799999;344.34;142470000;21.57704594
7.74;8.65;8.68;8.64;20750000;344.74;142810000;21.95637292
7.76;8.73;8.77;8.74;20379999;344.68;127990000;22.39375653
7.81;8.84;8.86;8.85;22670000;340.72;147130000;24.16858417
7.79;8.84;8.87;8.86;22459999;338.09;152930000;25.25463634
7.69;8.88;8.95;8.93;23330000;335.12;174260000;26.97576987
7.73;8.92;8.98;8.96;24160000;331.05;136150000;28.86361577
7.76;8.96;9;8.98;21700001;330.36;137360000;29.52645599
7.79;9;9.01;8.98;20860001;332.03;133480000;29.26175346
7.82;9.09;9.07;9.04;20250000;332.92;141330000;29.27405983
7.79;9.06;9.06;9.04;22190001;329.11;130630000;32.95512139
7.79;9.04;9.04;9;19520000;330.8;122750000;33.24002418
7.92;9.08;9.08;9.04;18430000;332.25;149020000;32.63054929
7.9;9.1;9.09;9.05;19320000;334.48;141610000;31.83592442
7.88;9.04;9.04;8.99;17809999;335.57;145560000;31.63220789
7.76;8.8;8.84;8.83;17280001;338.39;140550000;30.80215136
7.82;8.83;8.87;8.85;17650000;340.53;132760000;31.13023816
7.79;8.79;8.84;8.81;18490000;342.01;144230000;30.80102921
7.75;8.87;8.88;8.9;18639999;342.86;152220000;30.7920434
7.71;8.8;8.82;8.81;18590000;343.82;158460000;30.24349951
7.62;8.64;8.64;8.64;19809999;352;234040000;26.73295455
7.63;8.6;8.61;8.58;20139999;354.75;225410000;27.66314306
7.65;8.64;8.65;8.62;19490000;354.28;165730000;27.85728802
7.67;8.66;8.68;8.64;17709999;354;159810000;28.04237288
7.67;8.69;8.69;8.65;17270000;354.47;164770000;28.45154738
7.75;8.74;8.75;8.7;17200001;354.64;162520000;29.59801489
7.75;8.74;8.74;8.69;16719999;358;166280000;28.41340782
7.73;8.66;8.65;8.61;17840000;358.43;203350000;27.82183411
7.65;8.61;8.61;8.59;17180000;359.29;172330000;27.07434106
7.69;8.58;8.63;8.6;17700001;358.41;155140000;26.08370302
7.75;8.61;8.69;8.67;17320000;354.58;120250000;27.98826781
7.75;8.59;8.66;8.64;18750000;360.65;137410000;27.55275198
7.76;8.56;8.62;8.6;17440001;360.86;199540000;27.11954775
7.75;8.56;8.6;8.58;17370001;361.23;165690000;26.46230933
7.68;8.38;8.44;8.43;17090000;363.16;187860000;25.93115982
7.7;8.39;8.44;8.43;18389999;367.4;175520000;23.13663582
7.7;8.42;8.47;8.46;18969999;366.64;199720000;23.77165612
7.7;8.43;8.46;8.44;17420000;364.96;164030000;24.39434459
7.7;8.41;8.46;8.43;16879999;363.15;160360000;25.26201294
7.7;8.42;8.46;8.44;17580000;358.71;142600000;25.08561233
7.73;8.43;8.48;8.45;16340000;361.63;119550000;23.42278019
7.73;8.44;8.48;8.45;16600000;366.25;157100000;22.12559727
7.67;8.35;8.4;8.39;17379999;364.9;158910000;23.3252946
7.66;8.32;8.38;8.36;17400000;362.9;135770000;24.54780931
7.69;8.41;8.46;8.43;15900000;362.91;205130000;24.65255849
7.67;8.45;8.5;8.47;17709999;356.88;133470000;26.74534858
7.74;8.47;8.51;8.48;15230000;358.47;134930000;26.4714481
7.76;8.51;8.55;8.52;15270000;359.1;137420000;25.04761905
7.77;8.48;8.52;8.5;14720000;360.47;138570000;25.43129803
7.78;8.46;8.51;8.49;19360001;355.43;172570000;27.15071885
7.79;8.53;8.58;8.56;17059999;352.31;133100000;27.18645511
7.8;8.51;8.56;8.53;16290001;352.06;141420000;28.60466966
7.78;8.47;8.52;8.49;16000000;355.14;146620000;28.90026468
7.74;8.41;8.47;8.45;16180000;357.63;136120000;28.70670805
7.74;8.35;8.43;8.41;15500000;358.02;145510000;29.05290207
7.74;8.35;8.43;8.41;16260000;359.54;130200000;28.2195027
7.7;8.32;8.4;8.4;16110001;360.16;130050000;27.12727677
7.66;8.34;8.42;8.42;17250000;355.68;128320000;28.71030139
7.75;8.44;8.51;8.51;16410000;358.42;111730000;26.8900173
7.8;8.49;8.57;8.55;16660000;359.52;119390000;24.82899421
7.8;8.5;8.57;8.56;16920000;356.49;147630000;25.80364106
7.78;8.49;8.57;8.56;16680000;361.23;162220000;24.85391579
7.68;8.37;8.5;8.5;17059999;365.44;213180000;23.39218476
7.6;8.32;8.45;8.46;17090000;367.31;215600000;22.22389807
7.61;8.31;8.44;8.46;16750000;368.95;149430000;22.36807155
7.61;8.3;8.44;8.46;16660000;367.52;176790000;22.90629081
7.55;8.34;8.5;8.55;18900000;364.22;168760000;23.61133381
7.54;8.33;8.51;8.56;18559999;365.32;161990000;22.21154057
7.54;8.28;8.48;8.54;15630000;361.61;177810000;21.36793783
7.48;8.28;8.48;8.54;23680000;355.31;209030000;20.1234415
7.53;8.35;8.53;8.59;21790001;355.79;181920000;20.10888445
7.56;8.31;8.49;8.55;20190001;357.09;163530000;20.7520233
7.58;8.31;8.49;8.54;20260000;355.91;155040000;21.51291057
7.52;8.25;8.42;8.48;21120001;353.44;149070000;20.9298325
7.5;8.14;8.34;8.4;21160000;355.55;146470000;21.30023907
7.49;8.13;8.36;8.42;21110001;356.15;175380000;21.29411765
7.42;8.06;8.29;8.36;21639999;355.52;178260000;21.65144014
7.43;8.15;8.41;8.46;20430000;351.48;253090000;20.56868101
7.29;8.11;8.43;8.55;28740000;344.86;295880000;21.06176419
7.3;8.29;8.71;8.82;35910000;334.43;240400000;24.22982388
7.37;8.41;8.78;8.86;32750000;334.83;231580000;22.1263925
7.38;8.43;8.77;8.87;28270000;338.35;190400000;19.55696764
7.41;8.33;8.66;8.75;24389999;339.94;155810000;16.32770489
7.4;8.35;8.68;8.79;25750000;335.52;145340000;18.84394373
7.42;8.36;8.71;8.83;25740000;338.84;122820000;20.86483296
7.43;8.34;8.66;8.78;24180000;339.39;130320000;20.6816347
7.45;8.33;8.64;8.76;23309999;340.06;136710000;21.3331765
7.48;8.45;8.76;8.91;27160000;332.39;138850000;21.88435272
7.47;8.49;8.8;8.94;27530001;327.83;212560000;24.39245951
7.52;8.5;8.81;8.92;26459999;328.51;129630000;24.35012633
